"measure","value"
"Bulk Richardson Number using CAPV","18.16"
"Temp [K] of the Lifted Condensation Level","293.02"
"Pres [hPa] of the Lifted Condensation Level","931.54"
"Mean mixed layer potential temperature","299.02"
"Mean mixed layer mixing ratio","15.95"
"1000 hPa to 500 hPa thickness","5778.00"
"Precipitable water [mm] for entire sounding","54.36"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150101/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.16"
"Lifted index","-3.21"
"LIFT computed using virtual temperature","-3.68"
"SWEAT index","218.41"
"K index","32.60"
"Cross totals index","20.20"
"Vertical totals index","22.90"
"Totals totals index","43.10"
"Convective Available Potential Energy","1320.97"
"CAPE using virtual temperature","1500.37"
"Convective Inhibition","-22.60"
"CINS using virtual temperature","-12.14"
"Equilibrum Level","145.39"
"Equilibrum Level using virtual temperature","145.00"
"Level of Free Convection","864.94"
"LFCT using virtual temperature","882.89"
"Bulk Richardson Number","105.76"
"Bulk Richardson Number using CAPV","120.13"
"Temp [K] of the Lifted Condensation Level","294.61"
"Pres [hPa] of the Lifted Condensation Level","916.75"
"Mean mixed layer potential temperature","302.03"
"Mean mixed layer mixing ratio","17.95"
"1000 hPa to 500 hPa thickness","5806.00"
"Precipitable water [mm] for entire sounding","54.55"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150114/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.14"
"Lifted index","-1.77"
"LIFT computed using virtual temperature","-2.11"
"SWEAT index","203.21"
"K index","35.40"
"Cross totals index","20.20"
"Vertical totals index","24.10"
"Totals totals index","44.30"
"Convective Available Potential Energy","245.20"
"CAPE using virtual temperature","331.41"
"Convective Inhibition","-102.46"
"CINS using virtual temperature","-72.62"
"Equilibrum Level","241.09"
"Equilibrum Level using virtual temperature","241.23"
"Level of Free Convection","712.48"
"LFCT using virtual temperature","725.52"
"Bulk Richardson Number","9.50"
"Bulk Richardson Number using CAPV","12.84"
"Temp [K] of the Lifted Condensation Level","292.10"
"Pres [hPa] of the Lifted Condensation Level","886.91"
"Mean mixed layer potential temperature","302.30"
"Mean mixed layer mixing ratio","15.83"
"1000 hPa to 500 hPa thickness","5795.00"
"Precipitable water [mm] for entire sounding","54.85"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150115/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.08"
"Lifted index","-0.49"
"LIFT computed using virtual temperature","-0.70"
"SWEAT index","194.81"
"K index","33.40"
"Cross totals index","19.60"
"Vertical totals index","23.30"
"Totals totals index","42.90"
"Convective Available Potential Energy","79.54"
"CAPE using virtual temperature","107.71"
"Convective Inhibition","-55.59"
"CINS using virtual temperature","-41.48"
"Equilibrum Level","442.56"
"Equilibrum Level using virtual temperature","437.26"
"Level of Free Convection","792.11"
"LFCT using virtual temperature","804.74"
"Bulk Richardson Number","10.15"
"Bulk Richardson Number using CAPV","13.74"
"Temp [K] of the Lifted Condensation Level","292.22"
"Pres [hPa] of the Lifted Condensation Level","920.09"
"Mean mixed layer potential temperature","299.27"
"Mean mixed layer mixing ratio","15.36"
"1000 hPa to 500 hPa thickness","5763.00"
"Precipitable water [mm] for entire sounding","54.58"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150115/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.24"
"Lifted index","-0.39"
"LIFT computed using virtual temperature","-0.71"
"SWEAT index","199.21"
"K index","34.80"
"Cross totals index","19.20"
"Vertical totals index","22.30"
"Totals totals index","41.50"
"Convective Available Potential Energy","151.79"
"CAPE using virtual temperature","204.86"
"Convective Inhibition","-68.36"
"CINS using virtual temperature","-46.38"
"Equilibrum Level","348.55"
"Equilibrum Level using virtual temperature","342.34"
"Level of Free Convection","753.99"
"LFCT using virtual temperature","790.05"
"Bulk Richardson Number","5.55"
"Bulk Richardson Number using CAPV","7.49"
"Temp [K] of the Lifted Condensation Level","292.21"
"Pres [hPa] of the Lifted Condensation Level","895.60"
"Mean mixed layer potential temperature","301.57"
"Mean mixed layer mixing ratio","15.78"
"1000 hPa to 500 hPa thickness","5790.00"
"Precipitable water [mm] for entire sounding","57.11"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150116/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.20"
"Lifted index","-1.08"
"LIFT computed using virtual temperature","-1.32"
"SWEAT index","210.81"
"K index","35.50"
"Cross totals index","19.90"
"Vertical totals index","22.30"
"Totals totals index","42.20"
"Convective Available Potential Energy","272.51"
"CAPE using virtual temperature","328.36"
"Convective Inhibition","-54.50"
"CINS using virtual temperature","-45.03"
"Equilibrum Level","421.57"
"Equilibrum Level using virtual temperature","420.23"
"Level of Free Convection","844.22"
"LFCT using virtual temperature","855.16"
"Bulk Richardson Number","16.47"
"Bulk Richardson Number using CAPV","19.84"
"Temp [K] of the Lifted Condensation Level","292.97"
"Pres [hPa] of the Lifted Condensation Level","926.41"
"Mean mixed layer potential temperature","299.45"
"Mean mixed layer mixing ratio","16.00"
"1000 hPa to 500 hPa thickness","5755.00"
"Precipitable water [mm] for entire sounding","56.12"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150116/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.81"
"Lifted index","-2.40"
"LIFT computed using virtual temperature","-2.76"
"SWEAT index","179.61"
"K index","32.50"
"Cross totals index","17.70"
"Vertical totals index","24.70"
"Totals totals index","42.40"
"Convective Available Potential Energy","713.22"
"CAPE using virtual temperature","807.84"
"Convective Inhibition","-105.81"
"CINS using virtual temperature","-57.21"
"Equilibrum Level","184.44"
"Equilibrum Level using virtual temperature","182.96"
"Level of Free Convection","694.70"
"LFCT using virtual temperature","823.22"
"Bulk Richardson Number","103.11"
"Bulk Richardson Number using CAPV","116.79"
"Temp [K] of the Lifted Condensation Level","292.69"
"Pres [hPa] of the Lifted Condensation Level","888.13"
"Mean mixed layer potential temperature","302.81"
"Mean mixed layer mixing ratio","16.46"
"1000 hPa to 500 hPa thickness","5800.00"
"Precipitable water [mm] for entire sounding","54.19"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150117/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.86"
"Lifted index","-0.13"
"LIFT computed using virtual temperature","-0.31"
"SWEAT index","176.01"
"K index","30.60"
"Cross totals index","19.60"
"Vertical totals index","24.10"
"Totals totals index","43.70"
"Convective Available Potential Energy","0.41"
"CAPE using virtual temperature","2.96"
"Convective Inhibition","-341.33"
"CINS using virtual temperature","-298.20"
"Equilibrum Level","493.66"
"Equilibrum Level using virtual temperature","488.32"
"Level of Free Convection","508.29"
"LFCT using virtual temperature","521.01"
"Bulk Richardson Number","0.03"
"Bulk Richardson Number using CAPV","0.22"
"Temp [K] of the Lifted Condensation Level","291.69"
"Pres [hPa] of the Lifted Condensation Level","918.90"
"Mean mixed layer potential temperature","298.84"
"Mean mixed layer mixing ratio","14.86"
"1000 hPa to 500 hPa thickness","5785.00"
"Precipitable water [mm] for entire sounding","52.32"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150117/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.67"
"Lifted index","-2.05"
"LIFT computed using virtual temperature","-2.48"
"SWEAT index","179.21"
"K index","33.40"
"Cross totals index","18.50"
"Vertical totals index","23.50"
"Totals totals index","42.00"
"Convective Available Potential Energy","624.43"
"CAPE using virtual temperature","717.58"
"Convective Inhibition","-74.76"
"CINS using virtual temperature","-32.58"
"Equilibrum Level","184.25"
"Equilibrum Level using virtual temperature","183.62"
"Level of Free Convection","725.28"
"LFCT using virtual temperature","797.04"
"Bulk Richardson Number","24.45"
"Bulk Richardson Number using CAPV","28.09"
"Temp [K] of the Lifted Condensation Level","293.33"
"Pres [hPa] of the Lifted Condensation Level","910.01"
"Mean mixed layer potential temperature","301.36"
"Mean mixed layer mixing ratio","16.69"
"1000 hPa to 500 hPa thickness","5786.00"
"Precipitable water [mm] for entire sounding","54.31"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150118/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.88"
"Lifted index","-1.81"
"LIFT computed using virtual temperature","-2.01"
"SWEAT index","204.01"
"K index","38.50"
"Cross totals index","21.20"
"Vertical totals index","25.10"
"Totals totals index","46.30"
"Convective Available Potential Energy","151.83"
"CAPE using virtual temperature","176.43"
"Convective Inhibition","-103.88"
"CINS using virtual temperature","-88.55"
"Equilibrum Level","410.64"
"Equilibrum Level using virtual temperature","408.03"
"Level of Free Convection","717.76"
"LFCT using virtual temperature","728.72"
"Bulk Richardson Number","22.96"
"Bulk Richardson Number using CAPV","26.67"
"Temp [K] of the Lifted Condensation Level","292.74"
"Pres [hPa] of the Lifted Condensation Level","928.27"
"Mean mixed layer potential temperature","299.05"
"Mean mixed layer mixing ratio","15.73"
"1000 hPa to 500 hPa thickness","5763.00"
"Precipitable water [mm] for entire sounding","59.14"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150118/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.52"
"Lifted index","-0.34"
"LIFT computed using virtual temperature","-0.39"
"SWEAT index","216.01"
"K index","36.80"
"Cross totals index","20.30"
"Vertical totals index","22.70"
"Totals totals index","43.00"
"Convective Available Potential Energy","51.21"
"CAPE using virtual temperature","62.83"
"Convective Inhibition","-52.43"
"CINS using virtual temperature","-45.40"
"Equilibrum Level","450.17"
"Equilibrum Level using virtual temperature","449.51"
"Level of Free Convection","785.18"
"LFCT using virtual temperature","800.40"
"Bulk Richardson Number","3.75"
"Bulk Richardson Number using CAPV","4.60"
"Temp [K] of the Lifted Condensation Level","292.74"
"Pres [hPa] of the Lifted Condensation Level","929.45"
"Mean mixed layer potential temperature","298.94"
"Mean mixed layer mixing ratio","15.71"
"1000 hPa to 500 hPa thickness","5768.00"
"Precipitable water [mm] for entire sounding","61.21"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150119/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.85"
"Lifted index","-0.30"
"LIFT computed using virtual temperature","-0.50"
"SWEAT index","190.60"
"K index","34.30"
"Cross totals index","19.00"
"Vertical totals index","22.90"
"Totals totals index","41.90"
"Convective Available Potential Energy","36.25"
"CAPE using virtual temperature","61.95"
"Convective Inhibition","-116.65"
"CINS using virtual temperature","-80.95"
"Equilibrum Level","464.60"
"Equilibrum Level using virtual temperature","455.42"
"Level of Free Convection","662.44"
"LFCT using virtual temperature","703.18"
"Bulk Richardson Number","5.91"
"Bulk Richardson Number using CAPV","10.10"
"Temp [K] of the Lifted Condensation Level","293.13"
"Pres [hPa] of the Lifted Condensation Level","946.62"
"Mean mixed layer potential temperature","297.77"
"Mean mixed layer mixing ratio","15.81"
"1000 hPa to 500 hPa thickness","5763.00"
"Precipitable water [mm] for entire sounding","53.12"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150102/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.39"
"Lifted index","0.28"
"LIFT computed using virtual temperature","0.16"
"SWEAT index","236.00"
"K index","38.50"
"Cross totals index","21.30"
"Vertical totals index","23.50"
"Totals totals index","44.80"
"Convective Available Potential Energy","66.43"
"CAPE using virtual temperature","86.49"
"Convective Inhibition","-151.96"
"CINS using virtual temperature","-150.19"
"Equilibrum Level","505.80"
"Equilibrum Level using virtual temperature","502.98"
"Level of Free Convection","646.00"
"LFCT using virtual temperature","648.77"
"Bulk Richardson Number","3.64"
"Bulk Richardson Number using CAPV","4.74"
"Temp [K] of the Lifted Condensation Level","290.36"
"Pres [hPa] of the Lifted Condensation Level","895.85"
"Mean mixed layer potential temperature","299.65"
"Mean mixed layer mixing ratio","14.01"
"1000 hPa to 500 hPa thickness","5746.00"
"Precipitable water [mm] for entire sounding","54.93"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150119/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.00"
"Lifted index","0.63"
"LIFT computed using virtual temperature","0.64"
"SWEAT index","201.61"
"K index","36.70"
"Cross totals index","20.30"
"Vertical totals index","21.90"
"Totals totals index","42.20"
"Convective Available Potential Energy","37.69"
"CAPE using virtual temperature","41.50"
"Convective Inhibition","-59.87"
"CINS using virtual temperature","-54.96"
"Equilibrum Level","571.40"
"Equilibrum Level using virtual temperature","571.21"
"Level of Free Convection","725.34"
"LFCT using virtual temperature","726.03"
"Bulk Richardson Number","14.65"
"Bulk Richardson Number using CAPV","16.14"
"Temp [K] of the Lifted Condensation Level","293.30"
"Pres [hPa] of the Lifted Condensation Level","962.92"
"Mean mixed layer potential temperature","296.49"
"Mean mixed layer mixing ratio","15.70"
"1000 hPa to 500 hPa thickness","5755.00"
"Precipitable water [mm] for entire sounding","60.79"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150120/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.50"
"Lifted index","0.49"
"LIFT computed using virtual temperature","0.48"
"SWEAT index","192.01"
"K index","35.70"
"Cross totals index","21.40"
"Vertical totals index","24.10"
"Totals totals index","45.50"
"Convective Available Potential Energy","4.83"
"CAPE using virtual temperature","7.28"
"Convective Inhibition","-183.32"
"CINS using virtual temperature","-169.38"
"Equilibrum Level","548.62"
"Equilibrum Level using virtual temperature","549.09"
"Level of Free Convection","617.45"
"LFCT using virtual temperature","625.78"
"Bulk Richardson Number","0.73"
"Bulk Richardson Number using CAPV","1.10"
"Temp [K] of the Lifted Condensation Level","292.11"
"Pres [hPa] of the Lifted Condensation Level","951.94"
"Mean mixed layer potential temperature","296.26"
"Mean mixed layer mixing ratio","14.73"
"1000 hPa to 500 hPa thickness","5741.00"
"Precipitable water [mm] for entire sounding","55.39"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150120/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.18"
"Lifted index","-1.74"
"LIFT computed using virtual temperature","-2.02"
"SWEAT index","221.40"
"K index","36.90"
"Cross totals index","22.10"
"Vertical totals index","23.10"
"Totals totals index","45.20"
"Convective Available Potential Energy","321.42"
"CAPE using virtual temperature","382.24"
"Convective Inhibition","-36.33"
"CINS using virtual temperature","-31.44"
"Equilibrum Level","213.02"
"Equilibrum Level using virtual temperature","213.05"
"Level of Free Convection","835.57"
"LFCT using virtual temperature","843.01"
"Bulk Richardson Number","20.91"
"Bulk Richardson Number using CAPV","24.87"
"Temp [K] of the Lifted Condensation Level","292.99"
"Pres [hPa] of the Lifted Condensation Level","922.91"
"Mean mixed layer potential temperature","299.81"
"Mean mixed layer mixing ratio","16.08"
"1000 hPa to 500 hPa thickness","5774.00"
"Precipitable water [mm] for entire sounding","58.68"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150121/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","2.23"
"Lifted index","1.57"
"LIFT computed using virtual temperature","1.13"
"SWEAT index","169.00"
"K index","33.20"
"Cross totals index","18.10"
"Vertical totals index","24.10"
"Totals totals index","42.20"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","290.16"
"Pres [hPa] of the Lifted Condensation Level","907.54"
"Mean mixed layer potential temperature","298.32"
"Mean mixed layer mixing ratio","13.64"
"1000 hPa to 500 hPa thickness","5761.00"
"Precipitable water [mm] for entire sounding","46.54"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150121/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.29"
"Lifted index","-0.73"
"LIFT computed using virtual temperature","-1.34"
"SWEAT index","190.81"
"K index","34.50"
"Cross totals index","19.00"
"Vertical totals index","23.50"
"Totals totals index","42.50"
"Convective Available Potential Energy","259.49"
"CAPE using virtual temperature","360.22"
"Convective Inhibition","-92.89"
"CINS using virtual temperature","-69.16"
"Equilibrum Level","233.48"
"Equilibrum Level using virtual temperature","233.62"
"Level of Free Convection","732.63"
"LFCT using virtual temperature","760.82"
"Bulk Richardson Number","10.05"
"Bulk Richardson Number using CAPV","13.95"
"Temp [K] of the Lifted Condensation Level","292.28"
"Pres [hPa] of the Lifted Condensation Level","908.19"
"Mean mixed layer potential temperature","300.45"
"Mean mixed layer mixing ratio","15.63"
"1000 hPa to 500 hPa thickness","5776.00"
"Precipitable water [mm] for entire sounding","51.75"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150122/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.33"
"Lifted index","-1.41"
