"measure","value"
"1000 hPa to 500 hPa thickness","5756.00"
"Precipitable water [mm] for entire sounding","51.58"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150220/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.51"
"Lifted index","-1.00"
"LIFT computed using virtual temperature","-1.10"
"SWEAT index","244.02"
"K index","39.50"
"Cross totals index","22.50"
"Vertical totals index","22.50"
"Totals totals index","45.00"
"Convective Available Potential Energy","341.84"
"CAPE using virtual temperature","370.83"
"Convective Inhibition","-46.50"
"CINS using virtual temperature","-53.93"
"Equilibrum Level","310.32"
"Equilibrum Level using virtual temperature","310.09"
"Level of Free Convection","816.58"
"LFCT using virtual temperature","815.79"
"Bulk Richardson Number","26.05"
"Bulk Richardson Number using CAPV","28.26"
"Temp [K] of the Lifted Condensation Level","294.23"
"Pres [hPa] of the Lifted Condensation Level","960.92"
"Mean mixed layer potential temperature","297.62"
"Mean mixed layer mixing ratio","16.69"
"1000 hPa to 500 hPa thickness","5760.00"
"Precipitable water [mm] for entire sounding","64.80"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150221/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.01"
"Lifted index","-1.06"
"LIFT computed using virtual temperature","-1.15"
"SWEAT index","206.41"
"K index","35.20"
"Cross totals index","21.30"
"Vertical totals index","23.50"
"Totals totals index","44.80"
"Convective Available Potential Energy","134.49"
"CAPE using virtual temperature","161.36"
"Convective Inhibition","-56.81"
"CINS using virtual temperature","-42.60"
"Equilibrum Level","400.17"
"Equilibrum Level using virtual temperature","391.37"
"Level of Free Convection","699.49"
"LFCT using virtual temperature","754.84"
"Bulk Richardson Number","8.49"
"Bulk Richardson Number using CAPV","10.19"
"Temp [K] of the Lifted Condensation Level","292.83"
"Pres [hPa] of the Lifted Condensation Level","949.18"
"Mean mixed layer potential temperature","297.24"
"Mean mixed layer mixing ratio","15.46"
"1000 hPa to 500 hPa thickness","5742.00"
"Precipitable water [mm] for entire sounding","55.58"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150221/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.87"
"Lifted index","-0.91"
"LIFT computed using virtual temperature","-1.70"
"SWEAT index","190.41"
"K index","33.50"
"Cross totals index","18.80"
"Vertical totals index","22.70"
"Totals totals index","41.50"
"Convective Available Potential Energy","450.50"
"CAPE using virtual temperature","580.81"
"Convective Inhibition","-56.18"
"CINS using virtual temperature","-38.65"
"Equilibrum Level","250.79"
"Equilibrum Level using virtual temperature","258.63"
"Level of Free Convection","812.52"
"LFCT using virtual temperature","835.29"
"Bulk Richardson Number","101.38"
"Bulk Richardson Number using CAPV","130.70"
"Temp [K] of the Lifted Condensation Level","291.95"
"Pres [hPa] of the Lifted Condensation Level","897.05"
"Mean mixed layer potential temperature","301.17"
"Mean mixed layer mixing ratio","15.50"
"1000 hPa to 500 hPa thickness","5772.00"
"Precipitable water [mm] for entire sounding","48.22"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150222/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.46"
"Lifted index","0.89"
"LIFT computed using virtual temperature","0.69"
"SWEAT index","197.00"
"K index","35.80"
"Cross totals index","20.00"
"Vertical totals index","24.50"
"Totals totals index","44.50"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","289.63"
"Pres [hPa] of the Lifted Condensation Level","890.61"
"Mean mixed layer potential temperature","299.39"
"Mean mixed layer mixing ratio","13.44"
"1000 hPa to 500 hPa thickness","5760.00"
"Precipitable water [mm] for entire sounding","47.75"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150203/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.00"
"Lifted index","-0.34"
"LIFT computed using virtual temperature","-0.51"
"SWEAT index","187.61"
"K index","35.50"
"Cross totals index","19.80"
"Vertical totals index","22.90"
"Totals totals index","42.70"
"Convective Available Potential Energy","147.63"
"CAPE using virtual temperature","193.68"
"Convective Inhibition","-55.63"
"CINS using virtual temperature","-40.70"
"Equilibrum Level","369.12"
"Equilibrum Level using virtual temperature","352.79"
"Level of Free Convection","743.09"
"LFCT using virtual temperature","767.58"
"Bulk Richardson Number","688.62"
"Bulk Richardson Number using CAPV","903.43"
"Temp [K] of the Lifted Condensation Level","293.25"
"Pres [hPa] of the Lifted Condensation Level","945.97"
"Mean mixed layer potential temperature","297.95"
"Mean mixed layer mixing ratio","15.94"
"1000 hPa to 500 hPa thickness","5755.00"
"Precipitable water [mm] for entire sounding","56.24"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150222/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.38"
"Lifted index","-3.49"
"LIFT computed using virtual temperature","-3.99"
"SWEAT index","185.21"
"K index","31.90"
"Cross totals index","19.30"
"Vertical totals index","25.30"
"Totals totals index","44.60"
"Convective Available Potential Energy","1491.07"
"CAPE using virtual temperature","1634.13"
"Convective Inhibition","-83.17"
"CINS using virtual temperature","-48.45"
"Equilibrum Level","139.64"
"Equilibrum Level using virtual temperature","138.68"
"Level of Free Convection","757.95"
"LFCT using virtual temperature","808.23"
"Bulk Richardson Number","3001.87"
"Bulk Richardson Number using CAPV","3289.89"
"Temp [K] of the Lifted Condensation Level","293.00"
"Pres [hPa] of the Lifted Condensation Level","891.06"
"Mean mixed layer potential temperature","302.83"
"Mean mixed layer mixing ratio","16.74"
"1000 hPa to 500 hPa thickness","5796.00"
"Precipitable water [mm] for entire sounding","51.03"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150223/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.77"
"Lifted index","1.46"
"LIFT computed using virtual temperature","1.14"
"SWEAT index","192.41"
"K index","19.80"
"Cross totals index","19.60"
"Vertical totals index","24.10"
"Totals totals index","43.70"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","289.59"
"Pres [hPa] of the Lifted Condensation Level","889.33"
"Mean mixed layer potential temperature","299.47"
"Mean mixed layer mixing ratio","13.42"
"1000 hPa to 500 hPa thickness","5778.00"
"Precipitable water [mm] for entire sounding","42.75"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150223/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-2.65"
"Lifted index","-3.80"
"LIFT computed using virtual temperature","-4.16"
"SWEAT index","210.81"
"K index","40.20"
"Cross totals index","23.10"
"Vertical totals index","24.90"
"Totals totals index","48.00"
"Convective Available Potential Energy","1081.15"
"CAPE using virtual temperature","1187.13"
"Convective Inhibition","-51.60"
"CINS using virtual temperature","-42.69"
"Equilibrum Level","174.55"
"Equilibrum Level using virtual temperature","173.84"
"Level of Free Convection","828.61"
"LFCT using virtual temperature","838.89"
"Bulk Richardson Number","640.43"
"Bulk Richardson Number using CAPV","703.21"
"Temp [K] of the Lifted Condensation Level","292.92"
"Pres [hPa] of the Lifted Condensation Level","900.41"
"Mean mixed layer potential temperature","301.86"
"Mean mixed layer mixing ratio","16.43"
"1000 hPa to 500 hPa thickness","5772.00"
"Precipitable water [mm] for entire sounding","57.98"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150224/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.79"
"Lifted index","1.41"
"LIFT computed using virtual temperature","1.15"
"SWEAT index","174.80"
"K index","30.00"
"Cross totals index","19.40"
"Vertical totals index","24.10"
"Totals totals index","43.50"
"Convective Available Potential Energy","20.13"
"CAPE using virtual temperature","33.00"
"Convective Inhibition","-242.26"
"CINS using virtual temperature","-208.24"
"Equilibrum Level","587.33"
"Equilibrum Level using virtual temperature","583.64"
"Level of Free Convection","662.82"
"LFCT using virtual temperature","689.25"
"Bulk Richardson Number","6.15"
"Bulk Richardson Number using CAPV","10.08"
"Temp [K] of the Lifted Condensation Level","291.59"
"Pres [hPa] of the Lifted Condensation Level","931.15"
"Mean mixed layer potential temperature","297.60"
"Mean mixed layer mixing ratio","14.56"
"1000 hPa to 500 hPa thickness","5762.00"
"Precipitable water [mm] for entire sounding","49.28"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150224/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.48"
"Lifted index","-2.64"
"LIFT computed using virtual temperature","-2.91"
"SWEAT index","204.81"
"K index","35.60"
"Cross totals index","21.30"
"Vertical totals index","23.30"
"Totals totals index","44.60"
"Convective Available Potential Energy","892.01"
"CAPE using virtual temperature","979.11"
"Convective Inhibition","-14.35"
"CINS using virtual temperature","-4.88"
"Equilibrum Level","164.79"
"Equilibrum Level using virtual temperature","162.35"
"Level of Free Convection","854.84"
"LFCT using virtual temperature","876.98"
"Bulk Richardson Number","97.48"
"Bulk Richardson Number using CAPV","107.00"
"Temp [K] of the Lifted Condensation Level","293.23"
"Pres [hPa] of the Lifted Condensation Level","914.09"
"Mean mixed layer potential temperature","300.87"
"Mean mixed layer mixing ratio","16.53"
"1000 hPa to 500 hPa thickness","5780.00"
"Precipitable water [mm] for entire sounding","58.33"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150225/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.11"
"Lifted index","-1.02"
"LIFT computed using virtual temperature","-1.39"
"SWEAT index","205.00"
"K index","36.80"
"Cross totals index","21.10"
"Vertical totals index","22.70"
"Totals totals index","43.80"
"Convective Available Potential Energy","382.20"
"CAPE using virtual temperature","440.72"
"Convective Inhibition","-41.58"
"CINS using virtual temperature","-27.62"
"Equilibrum Level","251.29"
"Equilibrum Level using virtual temperature","251.01"
"Level of Free Convection","751.49"
"LFCT using virtual temperature","801.97"
"Bulk Richardson Number","110.02"
"Bulk Richardson Number using CAPV","126.86"
"Temp [K] of the Lifted Condensation Level","293.00"
"Pres [hPa] of the Lifted Condensation Level","937.97"
"Mean mixed layer potential temperature","298.42"
"Mean mixed layer mixing ratio","15.82"
"1000 hPa to 500 hPa thickness","5754.00"
"Precipitable water [mm] for entire sounding","55.39"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150225/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-2.15"
"Lifted index","-2.83"
"LIFT computed using virtual temperature","-3.10"
"SWEAT index","197.61"
"K index","38.10"
"Cross totals index","22.40"
"Vertical totals index","25.70"
"Totals totals index","48.10"
"Convective Available Potential Energy","556.17"
"CAPE using virtual temperature","618.67"
"Convective Inhibition","-90.39"
"CINS using virtual temperature","-63.24"
"Equilibrum Level","198.20"
"Equilibrum Level using virtual temperature","197.98"
"Level of Free Convection","711.70"
"LFCT using virtual temperature","731.48"
"Bulk Richardson Number","48.76"
"Bulk Richardson Number using CAPV","54.24"
"Temp [K] of the Lifted Condensation Level","292.06"
"Pres [hPa] of the Lifted Condensation Level","901.00"
"Mean mixed layer potential temperature","300.91"
"Mean mixed layer mixing ratio","15.55"
"1000 hPa to 500 hPa thickness","5767.00"
"Precipitable water [mm] for entire sounding","55.23"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150226/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.18"
"Lifted index","-0.82"
"LIFT computed using virtual temperature","-0.96"
"SWEAT index","186.80"
"K index","32.60"
"Cross totals index","21.80"
"Vertical totals index","24.70"
"Totals totals index","46.50"
"Convective Available Potential Energy","70.71"
"CAPE using virtual temperature","89.61"
"Convective Inhibition","-255.60"
"CINS using virtual temperature","-213.03"
"Equilibrum Level","334.10"
"Equilibrum Level using virtual temperature","335.59"
"Level of Free Convection","556.81"
"LFCT using virtual temperature","570.95"
"Bulk Richardson Number","50.40"
"Bulk Richardson Number using CAPV","63.87"
"Temp [K] of the Lifted Condensation Level","291.36"
"Pres [hPa] of the Lifted Condensation Level","912.57"
"Mean mixed layer potential temperature","299.09"
"Mean mixed layer mixing ratio","14.66"
"1000 hPa to 500 hPa thickness","5770.00"
"Precipitable water [mm] for entire sounding","52.27"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150226/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.76"
"Lifted index","-3.90"
"LIFT computed using virtual temperature","-4.33"
"SWEAT index","225.21"
"K index","37.00"
"Cross totals index","22.30"
"Vertical totals index","24.70"
"Totals totals index","47.00"
"Convective Available Potential Energy","1082.27"
"CAPE using virtual temperature","1199.66"
"Convective Inhibition","-31.66"
"CINS using virtual temperature","-16.25"
"Equilibrum Level","165.44"
"Equilibrum Level using virtual temperature","164.96"
"Level of Free Convection","826.03"
"LFCT using virtual temperature","860.21"
"Bulk Richardson Number","131.56"
"Bulk Richardson Number using CAPV","145.83"
"Temp [K] of the Lifted Condensation Level","293.39"
"Pres [hPa] of the Lifted Condensation Level","910.52"
"Mean mixed layer potential temperature","301.36"
"Mean mixed layer mixing ratio","16.74"
"1000 hPa to 500 hPa thickness","5776.00"
"Precipitable water [mm] for entire sounding","55.61"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150227/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.24"
"Lifted index","0.04"
"LIFT computed using virtual temperature","-0.11"
"SWEAT index","178.41"
"K index","30.30"
"Cross totals index","20.10"
"Vertical totals index","25.10"
"Totals totals index","45.20"
"Convective Available Potential Energy","7.52"
"CAPE using virtual temperature","12.85"
"Convective Inhibition","-432.60"
"CINS using virtual temperature","-379.02"
"Equilibrum Level","399.18"
"Equilibrum Level using virtual temperature","398.76"
"Level of Free Convection","488.33"
"LFCT using virtual temperature","504.20"
"Bulk Richardson Number","0.43"
"Bulk Richardson Number using CAPV","0.73"
"Temp [K] of the Lifted Condensation Level","289.82"
"Pres [hPa] of the Lifted Condensation Level","888.44"
"Mean mixed layer potential temperature","299.80"
"Mean mixed layer mixing ratio","13.64"
"1000 hPa to 500 hPa thickness","5775.00"
"Precipitable water [mm] for entire sounding","48.46"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150203/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.09"
"Lifted index","-1.97"
"LIFT computed using virtual temperature","-2.17"
"SWEAT index","193.21"
"K index","34.80"
"Cross totals index","19.60"
"Vertical totals index","23.10"
"Totals totals index","42.70"
"Convective Available Potential Energy","598.06"
"CAPE using virtual temperature","664.73"
"Convective Inhibition","-26.82"
"CINS using virtual temperature","-1.40"
"Equilibrum Level","173.39"
"Equilibrum Level using virtual temperature","170.77"
"Level of Free Convection","741.41"
"LFCT using virtual temperature","939.56"
"Bulk Richardson Number","75.84"
"Bulk Richardson Number using CAPV","84.30"
"Temp [K] of the Lifted Condensation Level","294.36"
"Pres [hPa] of the Lifted Condensation Level","948.28"
"Mean mixed layer potential temperature","298.87"
"Mean mixed layer mixing ratio","17.05"
"1000 hPa to 500 hPa thickness","5777.00"
"Precipitable water [mm] for entire sounding","59.29"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150227/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.18"
"Lifted index","-4.23"
"LIFT computed using virtual temperature","-5.03"
"SWEAT index","193.61"
"K index","32.70"
"Cross totals index","18.90"
"Vertical totals index","23.90"
"Totals totals index","42.80"
"Convective Available Potential Energy","2303.42"
"CAPE using virtual temperature","2505.00"
"Convective Inhibition","-10.41"
"CINS using virtual temperature","-1.67"
"Equilibrum Level","147.65"
"Equilibrum Level using virtual temperature","147.62"
"Level of Free Convection","871.04"
"LFCT using virtual temperature","910.17"
"Bulk Richardson Number","1811.38"
"Bulk Richardson Number using CAPV","1969.90"
"Temp [K] of the Lifted Condensation Level","295.06"
"Pres [hPa] of the Lifted Condensation Level","921.57"
"Mean mixed layer potential temperature","302.04"
"Mean mixed layer mixing ratio","18.37"
"1000 hPa to 500 hPa thickness","5854.00"
"Precipitable water [mm] for entire sounding","53.91"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150228/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.58"
"Lifted index","1.41"
"LIFT computed using virtual temperature","1.31"
"SWEAT index","193.61"
"K index","35.40"
"Cross totals index","19.50"
"Vertical totals index","24.50"
"Totals totals index","44.00"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","289.71"
"Pres [hPa] of the Lifted Condensation Level","888.33"
"Mean mixed layer potential temperature","299.69"
"Mean mixed layer mixing ratio","13.54"
"1000 hPa to 500 hPa thickness","5779.00"
"Precipitable water [mm] for entire sounding","49.96"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150228/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.53"
"Lifted index","-4.18"
"LIFT computed using virtual temperature","-4.73"
"SWEAT index","184.00"
"K index","35.80"
"Cross totals index","19.60"
"Vertical totals index","23.90"
"Totals totals index","43.50"
"Convective Available Potential Energy","2278.41"
"CAPE using virtual temperature","2462.37"
"Convective Inhibition","-24.08"
"CINS using virtual temperature","-12.38"
"Equilibrum Level","150.35"
"Equilibrum Level using virtual temperature","150.32"
"Level of Free Convection","861.97"
"LFCT using virtual temperature","889.19"
"Bulk Richardson Number","148.74"
"Bulk Richardson Number using CAPV","160.75"
"Temp [K] of the Lifted Condensation Level","295.29"
"Pres [hPa] of the Lifted Condensation Level","928.57"
"Mean mixed layer potential temperature","301.62"
"Mean mixed layer mixing ratio","18.49"
"1000 hPa to 500 hPa thickness","5781.00"
"Precipitable water [mm] for entire sounding","55.86"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150204/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.86"
"Lifted index","1.22"
"LIFT computed using virtual temperature","1.25"
"SWEAT index","190.01"
"K index","33.80"
"Cross totals index","19.40"
"Vertical totals index","22.30"
"Totals totals index","41.70"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","292.11"
"Pres [hPa] of the Lifted Condensation Level","947.72"
"Mean mixed layer potential temperature","296.64"
"Mean mixed layer mixing ratio","14.79"
"1000 hPa to 500 hPa thickness","5751.00"
"Precipitable water [mm] for entire sounding","54.84"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150204/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.90"
"Lifted index","-1.25"
"LIFT computed using virtual temperature","-1.36"
"SWEAT index","193.21"
"K index","33.80"
"Cross totals index","20.30"
"Vertical totals index","22.30"
"Totals totals index","42.60"
"Convective Available Potential Energy","251.98"
"CAPE using virtual temperature","309.94"
"Convective Inhibition","-4.20"
"CINS using virtual temperature","-2.09"
"Equilibrum Level","257.33"
"Equilibrum Level using virtual temperature","255.11"
"Level of Free Convection","908.93"
"LFCT using virtual temperature","932.84"
"Bulk Richardson Number","44.42"
"Bulk Richardson Number using CAPV","54.64"
"Temp [K] of the Lifted Condensation Level","293.93"
"Pres [hPa] of the Lifted Condensation Level","952.20"
"Mean mixed layer potential temperature","298.08"
"Mean mixed layer mixing ratio","16.53"
"1000 hPa to 500 hPa thickness","5760.00"
"Precipitable water [mm] for entire sounding","58.74"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150205/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.98"
"Lifted index","-2.21"
"LIFT computed using virtual temperature","-2.44"
"SWEAT index","210.01"
"K index","36.30"
"Cross totals index","22.00"
"Vertical totals index","23.50"
"Totals totals index","45.50"
"Convective Available Potential Energy","306.49"
"CAPE using virtual temperature","359.87"
"Convective Inhibition","-46.42"
"CINS using virtual temperature","-38.79"
"Equilibrum Level","245.95"
"Equilibrum Level using virtual temperature","246.22"
"Level of Free Convection","831.46"
"LFCT using virtual temperature","849.32"
"Bulk Richardson Number","23.61"
"Bulk Richardson Number using CAPV","27.72"
"Temp [K] of the Lifted Condensation Level","292.85"
"Pres [hPa] of the Lifted Condensation Level","921.38"
"Mean mixed layer potential temperature","299.80"
"Mean mixed layer mixing ratio","15.96"
"1000 hPa to 500 hPa thickness","5772.00"
"Precipitable water [mm] for entire sounding","59.15"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150206/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.51"
"Lifted index","0.23"
"LIFT computed using virtual temperature","-0.06"
"SWEAT index","202.01"
"K index","33.30"
"Cross totals index","20.70"
"Vertical totals index","22.30"
"Totals totals index","43.00"
"Convective Available Potential Energy","18.34"
"CAPE using virtual temperature","38.13"
"Convective Inhibition","-59.04"
"CINS using virtual temperature","-53.03"
"Equilibrum Level","509.23"
"Equilibrum Level using virtual temperature","494.67"
"Level of Free Convection","810.40"
"LFCT using virtual temperature","815.02"
"Bulk Richardson Number","1.08"
"Bulk Richardson Number using CAPV","2.24"
"Temp [K] of the Lifted Condensation Level","292.29"
"Pres [hPa] of the Lifted Condensation Level","933.50"
"Mean mixed layer potential temperature","298.11"
"Mean mixed layer mixing ratio","15.21"
"1000 hPa to 500 hPa thickness","5760.00"
"Precipitable water [mm] for entire sounding","53.77"
